phonemic_name	lang	latin_name	humor_temp	humor_type	notes
raktachandana	SK	Pterocarpus santalinus	cool	bile	Sanskrit: raktachandana/red sandalwood
kushtha2	SK	Saussurea lappa	warm	wind	Sanskrit: kushtha-2/lappa costus
tagara2	SK	Valeriana jatamansi	warm	wind	Sanskrit: tagara-2/Indian valerian
mamajjaka	SK	Swertia chirata	cool	bile	Sanskrit: mamajjaka/chirata
kodan	MN	Coix lacryma-jobi	neutral	multi	Mongolian: kodan/Job's tears
kodain	MN	Coix lacryma-jobi	neutral	multi	kodan variant
fodar	MN	Bupleurum scorzonerifolium	cool	bile	Mongolian: fodar/Bupleurum
fodar2	TB	Bupleurum falcatum	cool	bile	Tibetan: smar-leb/Bupleurum
smarleg	TB	Bupleurum falcatum	cool	bile	smar-leb direct
dais	MN	Glycyrrhiza uralensis	neutral	multi	Mongolian: dais/licorice
daiss	MN	Glycyrrhiza uralensis	neutral	multi	dais variant
tsheds	TB	Acorus calamus	warm	wind	Tibetan: tshod/Acorus
shetok	TB	Acorus calamus	warm	wind	Acorus Tibetan variant she-thog
tsanden	TB	Santalum album	cool	bile	sandalwood: tsan-den
tsandan	TB	Santalum album	cool	bile	tsanden short
olkar	MN	Stellaria dichotoma	cool	bile	Mongolian: olkhon starwort
khargar	MN	Hedysarum spp.	neutral	multi	Mongolian hedysarum
khargai	MN	Caragana jubata	neutral	multi	Mongolian: khargai caragana
tarag	MN	Fermented milk product	neutral	multi	tarag: fermented dairy
targan	MN	Fermented milk	neutral	multi	tarag variant
shalkhuur	MN	Salsola collina	cool	bile	Mongolian glasswort
shalkhur	MN	Salsola collina	cool	bile	glasswort short
aarin	MN	Terminalia chebula	neutral	multi	Mongolian: aari/myrobalan
aari	MN	Terminalia chebula	neutral	multi	aari short
naidang	MN	Ziziphus jujuba var.	warm	wind	Mongolian jujube variant
sargaid	MN	Rhodiola quadrifida	neutral	multi	four-petal roseroot
tsetsgeleg	MN	Chrysanthemum zawadskii	cool	bile	Mongolian chrysanthemum
alimaa	MN	Malus baccata	neutral	multi	Siberian crabapple
khariagas	MN	Padus avium	neutral	multi	Mongolian bird cherry
borsoo	MN	Ribes nigrum	neutral	multi	black currant: bor-soo
tsedendar	MN	Swertia marginata	cool	bile	Mongolian swertia
sodnomdorj	MN	Lagotis spp.	cool	bile	Mongolian lagotis
chotgor	MN	Aconitum barbatum	warm	phlegm	bearded aconite
kharanchai	MN	Sophora alopecuroides	cool	bile	Mongolian sophora
shukhain	MN	Neopallasia pectinata	cool	bile	Mongolian pectinate wormwood
nohoikhoshuu	MN	Astragalus melilotoides	warm	wind	Mongolian dog-nose astragalus
tsagaantuulai	MN	Lagochilus ilicifolius	cool	bile	Mongolian hare's ear
shartsuul	MN	Gentiana algida	cool	bile	cold gentian; mountain bile
tsagaansambuu	MN	Bupleurum scorzonerifolium	cool	bile	white bupleurum
sharil2	MN	Terminalia bellirica	neutral	multi	beleric myrobalan Mongolian
oidov	MN	Elsholtzia ciliata	warm	wind	Mongolian elsholtzia
dundgovi	MN	Kalidium foliatum	cool	bile	Gobi kaleidium
tsagaanbuudai	MN	Triticum aestivum	neutral	multi	white wheat variant
mamira	SK	Coptis chinensis	cool	bile	Sanskrit mamira (pitta-rohini); bitter bile-clearing root; close to huang-lian
skerpa	TB	Berberis aristata	cool	bile	Tibetan skyer-pa; tree turmeric; bile-clearing bark
skerpai	TB	Berberis aristata	cool	bile	Tibetan skyer-pa inflected form
ajamoda	SK	Carum carvi	warm	wind	Sanskrit ajamoda; caraway/ajwain family; wind-pacifying carminative
gyatsha	TB	Carum carvi	warm	wind	Tibetan gya-tsha (white cumin); warming carminative
gyatshawa	TB	Carum carvi	warm	wind	Tibetan gya-tsha-ba inflected; warming carminative aromatic
shiker	MN	Glycyrrhiza uralensis	neutral	multi	Mongolian shixer ows; licorice root alt form; universal harmonizer
shikerei	MN	Glycyrrhiza uralensis	neutral	multi	shiker inflected form
burtshag	MN	Glycyrrhiza uralensis	neutral	multi	Mongolian burtshag ows; alt licorice name
borkhuntsir	MN	Scutellaria baicalensis	cool	bile	Mongolian bor-khun-tsir; Baikal skullcap; heat-clearing bile herb
borkhuntsi	MN	Scutellaria baicalensis	cool	bile	borkhuntsir short form
sorlo	MN	Adenophora wulingshanica	cool	bile	Mongolian sorlo; ladybell root; lung heat clearing
sorloai	MN	Adenophora wulingshanica	cool	bile	sorlo inflected form
suik	MN	Artemisia argyi	cool	bile	Mongolian suik; Chinese mugwort; dispel cold variant
suikh	MN	Artemisia argyi	cool	bile	suik variant form
sharalj	MN	Artemisia brachyloba	cool	bile	Mongolian sharalj; short-lobed wormwood; jaundice
shurgen	MN	Saposhnikovia divaricata	warm	wind	Mongolian shurgen; ledebouriella root; rheumatism
shurgeni	MN	Saposhnikovia divaricata	warm	wind	shurgen inflected form
rotsongrong	MN	Cistanche deserticola	warm	multi	Mongolian rotsongrong; desert broomrape; anti-aging kidney tonic
rotsongroni	MN	Cistanche deserticola	warm	multi	rotsongrong inflected form
sodun	MN	Sanguisorba officinalis	cool	bile	Mongolian sodun; garden burnet; hemostatic joint pain
sodon	MN	Sanguisorba officinalis	cool	bile	sodun alt spelling Bairin variant
tsitsikina	MN	Malus baccata	neutral	multi	Mongolian qiqihina; Siberian crab apple; general medicine
tsitsikana	MN	Hippophae rhamnoides	cool	multi	Mongolian chichihana; sea buckthorn; nutrition/medicine
khalgai	MN	Urtica cannabina	cool	wind	Mongolian khalgai; hemp nettle; joint pain snake bite
bagwakai	MN	Taraxacum mongolicum	cool	bile	Mongolian bagwa-khai; Mongolian dandelion; heat-clearing liver
bagwakhai	MN	Taraxacum mongolicum	cool	bile	bagwakai alt form
agar	MN	Aquilaria sinensis	warm	wind	Mongolian agar; agarwood/oud; aromatic warming
zingibar	MN	Zingiber officinale	warm	wind	Central Asian zingibar; ginger alt phonemic form
khaliyarson	MN	Allium senescens	warm	wind	Mongolian haliyarson; mountain garlic; general medicine
bongkar	TB	Aconitum ferox	cold	bile	Tibetan bong-dkar; white monkshood; toxic processed detox
bongdkar	TB	Aconitum ferox	cold	bile	bong-dkar wylie form; COLD TYPE-B pharma candidate
agj	MN	Artemisia frigida	cold	bile	Mongolian agj/agi; cold mugwort; COOLING bile-clearing, distinct from shugai
agi	MN	Artemisia frigida	cold	bile	agj phonemic variant; Mongolian cold wormwood
shulhii	MN	Neopallasia pectinata	cold	bile	shulhii sharilj; comb-toothed wormwood; alt form distinct from shukhain
akrong	TB	Artemisia capillaris	cold	bile	Tibetan a-krong; COLD choleretic anti-jaundice; white capillaris type

arire	OUyghur	Terminalia chebula	cool	bile	Old Uyghur arire < Sogd. arire < Skt. haritaki; chebulic myrobalan; one of three-fruits; corroborates D41 f35v
buda	OUyghur	Glycyrrhiza glabra	cool	multi	Old Uyghur buda < Skt. madhuka; sweet licorice; confirms Glycyrrhiza class
kamgak	OUyghur	Salsola collina	cool	multi	Old Uyghur kamgak; Queller/Salzkraut; Wilkens p.233 kamgak küli=ash used in medicine; corroborates f23v Salsola PROBABLE
ekir	OUyghur	Acorus calamus	warm	wind	Old Uyghur ekir/agir < Greek akaron; Indischer Kalmus; corroborates f6r CONFIRMED identification
baachana	OUyghur	Acorus calamus	warm	wind	Old Uyghur baachana < Skt. vaca; second OUyghur Acorus form; baachana ekir=compound form in texts
gai	OUyghur	Artemisia spp.	warm	bile	Old Uyghur gai < Chinese ai (mugwort/wormwood); corroborates Artemisia cluster
kapir	OUyghur	Cinnamomum camphora	cool	multi	Old Uyghur kapir < Skt. karpura; camphor tree; cooling aromatic
kadiz	OUyghur	Cinnamomum zeylanicum	warm	wind	Old Uyghur kadiz; cinnamon bark; DISTINCT from darchin false cluster
guruч	OUyghur	Tinospora cordifolia	cool	bile	Old Uyghur guruc/kroc < Skt. guduchi; giloy vine; fever/bile-clearing
lodur	OUyghur	Symplocos racemosa	cool	bile	Old Uyghur lodur < TochB lotr < Skt. lodhra; astringent bark
batar	OUyghur	Zizyphus jujuba	warm	wind	Old Uyghur batar < Skt. badara; jujube/Chinese date
sharilj	MN	Artemisia brachyloba	cool	mono	PMC3649933/7936101; sharilj = major Mongolian Artemisia name; morin/honin sharilj across 4 spp.
sharali	MN	Artemisia scoparia	cool	mono	PMC7936101; yamaan sharilj variant; broom-wormwood
shawag	MN	Artemisia brachyloba	cool	mono	PMC6609360; morin/honin shawag = Artemisia spp. (Bairin herder name)
shabag	MN	Artemisia halodendron	cool	mono	PMC3649933; honin/morin shabag; halodendron sand-wormwood
shavag	MN	Artemisia xerophytica	cool	mono	PMC7936101; bor/shar shavag; dry-steppe Artemisia
shuurgen	MN	Saposhnikovia divaricata	warm	wind	PMC6609360; shuurgen = windbreaker herb; rlung-clearing in rGyud bzhi;防風 fangfeng Mongolian form
tsulbuur	MN	Iris tenuifolia	cool	multi	PMC7936101; tsulbuur ubs = iris; desert-steppe species
chahirma	MN	Iris lactea	cool	multi	PMC3649933/2268917; chahirma/chaherma/cakirma attested in 3 independent sources
chaherma	MN	Iris lactea	cool	multi	PMC2268917; variant of chahirma; Ejina desert population
shixer	MN	Glycyrrhiza uralensis	cool	multi	PMC6609360; shixər ows = licorice root; Bairin ethnobotany corroborates Glycyrrhiza cluster
tarnu	MN	Euphorbia fischeriana	cool	bile	PMC6609360; tarnu = Euphorbia; Tibetan loanword; lang-thang group
tarnuu	MN	Euphorbia fischeriana	cool	bile	PMC12557954; long-form variant of tarnu
zergen	MN	Ephedra sinica	warm	wind	PMC3649933; zergen/zhergen = Ephedra; variant of zeergen in DB; Arhorchin Mongolian
zeergen	MN	Ephedra monosperma	warm	wind	PMC7936101; zeergene = desert Ephedra; South Gobi variant of zergen
jiirug	MN	Schizonepeta multifida	warm	wind	PMC12557954; jiirugba Mongolian; diaphoretic wind-clearing herb
jiirugba	MN	Schizonepeta multifida	warm	wind	PMC12557954; IPA dʒi:rugbɑ; Tibetan loanword; full form of jiirug
tsulihir	MN	Agriophyllum squarrosum	cool	multi	PMC7936101; shivuurt tsulihir/derveen tsulihir; sand-grain herb; Inner Mongolia
danrog	TB	Croton tiglium L.	cool	bile	Sowa Rigpa Wylie dan rog; PMC7689029 mmc1; toxic bile-purging purgative; sim(darug,danrog)=0.667; f22v competing D45
denrok	TB	Croton tiglium L.	cool	bile	Sowa Rigpa phonetic den rok; PMC7689029 mmc1; phonetic form of dan rog; batch745
barura	TB	Terminalia bellirica (Gaertn.) Roxb.	cool	bile	Sowa Rigpa canonical ba ru ra; PMC7689029 mmc1; canonical Tibetan (sim=0.500 vs darug; D45 uses Mongolian loanword barun 0.600)
tamik	TB	Viola biflora L.	cool	multi	Sowa Rigpa phonetic ta mik (Wylie rta rmig); PMC7689029 mmc1; yellow violet; aiik≈tamik 0.600 but likely non-lexical (grammar token); batch745
shomang	TB	Rumex nepalensis Spreng.	cool	bile	Sowa Rigpa phonetic sho mang; PMC7689029 mmc1; best shkaug candidate 0.571 — BELOW threshold; f36r near-miss; batch745
dayung	TB	Pinellia ternata (Thunb.) Makino	warm	phlegm	Sowa Rigpa phonetic da yung (Wylie dwa g.yung); PMC7689029 mmc1; anti-nausea phlegm herb; darug competing 0.667; batch745
datrig	TB	Rhus chinensis Mill.	cool	multi	Sowa Rigpa Wylie da trig; PMC7689029 mmc1; astringent sumac bark; darug competing 0.667; batch745
khurgantshikh	MN	Rumex acetosa L.	cool	bile	PMC12557954 Greater Khingan Mountains 2025 (Yi-ru-gui et al., J Ethnobiol Ethnomed 21:71); Inner Mongolian TMM; IPA xʊrgɑn tʃix; sorrel/dock; bile-clearing; batch747
khukheows	MN	Equisetum arvense L.	cool	multi	PMC12557954 Greater Khingan Mountains 2025; Inner Mongolian TMM; horsetail; cooling multi-target; batch747
egtshiged	MN	Veratrum album L.	cold	bile	PMC12557954 Greater Khingan Mountains 2025; Inner Mongolian TMM; white hellebore; cold toxic bile-targeting; batch747
birong	MN	Dracocephalum moldavica L.	warm	wind	PMC12557954 Greater Khingan Mountains 2025; Inner Mongolian TMM; Moldavian dragonhead; warm wind-clearing; batch747
tulgiows	MN	Achillea millefolium L.	warm	multi	PMC12557954 Greater Khingan Mountains 2025; Inner Mongolian TMM; yarrow; warm multi-target hemostatic; batch747
dzulpunkhud	MN	Valeriana officinalis L.	warm	wind	PMC12557954 Greater Khingan Mountains 2025; Inner Mongolian TMM; valerian; warm wind-settling sedative; batch747
khorkhunjid	MN	Lomatogonium rotatum (L.) Fr.	cool	bile	PMC12557954 Greater Khingan Mountains 2025; Inner Mongolian TMM; marsh felwort; cool bile-clearing gentian family; batch747
olugtshigun	MN	Schisandra chinensis (Turcz.) Baill.	warm	multi	PMC12557954 Greater Khingan Mountains 2025; Inner Mongolian TMM; five-flavor berry; warm multi-target tonic; batch747
habirigendigda	MN	Lomatogonium rotatum (L.) Fries ex Nym	cool	bile	PMC6836280 Lomatogonium rotatum liver treatment; Mongolian: Habirigen Digda; hepatobiliary fever jaundice heat-clearing; included in >25 TMM prescriptions; batch754
digda	MN	Lomatogonium rotatum (L.) Fries ex Nym	cool	bile	PMC6836280; Mongolian short name Digda; bile-clearing gentian-family; batch754
borxunchir	MN	Scutellaria baicalensis Georgi	cool	bile	PMC6609360 Bairin Inner Mongolia; IPA bɔr xʊnʧir; heat-clearing cough detox; distinct from DB entry borkhuntsir (variant spelling); batch754
sharxunchir	MN	Scutellaria viscidula Bunge	cool	bile	PMC6609360 Bairin Inner Mongolia; IPA ʃɑr xʊnʧir; heat-clearing cough detox; viscidula = sticky skullcap; batch754
doglongols	MN	Sophora flavescens Soland.	cool	bile	PMC6609360 Bairin Inner Mongolia; IPA dɔɡlɔŋ ɔls; heat-clearing detoxifying; Mongolian name for ku-shen; batch754
xiermodunsars	MN	Phellodendron amurense Rupr.	cool	bile	PMC9476378 Xieriga-4 formula; Mongolian Xier Modun Dors; bile-clearing adjuvant; Amur cork tree bark; batch754
xierdors	MN	Phellodendron amurense Rupr.	cool	bile	PMC9476378; Xier Dors abbreviated; batch754
zhurura	MN	Gardenia jasminoides Ellis	cool	bile	PMC9476378 Xieriga-4 formula; Mongolian Zhurura; bile-clearing; gardenia fruit; batch754
imanjanggu	MN	Tribulus terrestris L.	warm	multi	PMC9476378 Xieriga-4 formula; Mongolian ImanJanggu; urinary bile formula; puncture vine; batch754
khaiak	MN	Iris lactea Pall.	cool	bile	Mongolian khaiak = scribal form of khailag; Iris lactea bile-clearing; Inner Mongolia TMM hot diseases mkhris pa; sim=0.667 vs f47r khiaik; batch754
khailag	MN	Iris lactea Pall.	cool	bile	Mongolian classical khailag (full form); Iris lactea bile-clearing choleretic; root and seed; batch754
dida	TB	Swertia chirayita (Roxb.) Buch.-Ham. ex C.B.Clarke	cool	bile	PMC5797630 Tibetan liver medicine; Tibetan di-da; primary liver herb; covers Swertia chirayita mussotii franchetiana Halenia elliptica; batch754
jiadiranguo	TB	Halenia elliptica D.Don	cool	bile	PMC4557233 Halenia elliptica review; Tibetan Jiadiranguo; hepatobiliary heat-clearing bile-benefiting; Gentianaceae; batch754
